Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
DbaaS direto sem Join 1000,100,360,277,1060,"120,82","0,000%",",66199","25,07","0,00","38784,0"
TOTAL,100,360,277,1060,"120,82","0,000%",",66199","25,07","0,00","38784,0"
