Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
DaaS direto sem Join 5000,100,4408,1512,10681,"2020,04","0,000%",",15849","74,18","0,03","479273,2"
TOTAL,100,4408,1512,10681,"2020,04","0,000%",",15849","74,18","0,03","479273,2"
