Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
DbaaS direto sem Join 5000,100,849,553,2346,"292,46","0,000%",",66231","119,56","0,00","184860,0"
TOTAL,100,849,553,2346,"292,46","0,000%",",66231","119,56","0,00","184860,0"
