Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
SQL DbaaS,100,4391,2588,9440,"1479,01","0,000%",",05651","48,32","0,02","875650,2"
TOTAL,100,4391,2588,9440,"1479,01","0,000%",",05651","48,32","0,02","875650,2"
