Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
2 DbaaS com Join,100,3547,2323,12081,"1434,17","0,000%",",21029","132,46","0,12","644981,6"
TOTAL,100,3547,2323,12081,"1434,17","0,000%",",21029","132,46","0,12","644981,6"
