Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
DaaS sem Join 5000,100,4169,2233,8799,"1431,90","0,000%",",16512","141,23","0,05","875846,5"
TOTAL,100,4169,2233,8799,"1431,90","0,000%",",16512","141,23","0,05","875846,5"
