Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
DaaS direto sem Join 100,100,679,449,2823,"314,81","0,000%",",16022","1,64","0,03","10454,4"
TOTAL,100,679,449,2823,"314,81","0,000%",",16022","1,64","0,03","10454,4"
