Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
2 DaaS com Join,100,426,287,1373,"188,31","0,000%",",21213","6,24","0,10","30118,3"
TOTAL,100,426,287,1373,"188,31","0,000%",",21213","6,24","0,10","30118,3"
