Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
DbaaS sem Join 100,100,670,534,1822,"187,88","0,000%",",21176","3,92","0,06","18969,0"
TOTAL,100,670,534,1822,"187,88","0,000%",",21176","3,92","0,06","18969,0"
