Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
DaaS direto sem Join 1000,100,1238,552,2518,"450,28","0,000%",",16001","15,69","0,03","100382,3"
TOTAL,100,1238,552,2518,"450,28","0,000%",",16001","15,69","0,03","100382,3"
