Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
SQL DaaS,100,4415,2483,10328,"1656,43","0,000%",",05647","48,29","0,02","875651,1"
TOTAL,100,4415,2483,10328,"1656,43","0,000%",",05647","48,29","0,02","875651,1"
